fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-01 20:00:00+0100,55.589864,44.447888,23.255821583333333,5.225997,7.783607333333333,6.315918333333333,20,6,1,1,-1.0,-0.017325363010177286,1.0,0.16351194652682743
2023-01-01 21:00:00+0100,58.778458,52.060008333333336,27.008123833333332,4.314733,5.880019333333333,5.810112749999999,21,6,1,1,-1.0,-0.03414995036502455,1.0,0.16873765296562643
2023-01-01 22:00:00+0100,34.476403,49.614908333333325,29.043002583333333,3.206153,4.248961,5.626692166666667,22,6,1,1,-1.0,-0.01774393567032506,1.0,0.1640378635851235
2023-01-01 23:00:00+0100,10.887539,34.71413333333333,29.073404666666665,2.531761,3.3508823333333333,5.084808833333334,23,6,1,1,1.0,0.040819009782890214,1.0,0.13318517470896873
2023-01-02 00:00:00+0100,2.101422,15.821788,28.540995583333338,2.393347,2.7104203333333334,4.928836333333334,0,0,0,1,1.0,0.06789320776418728,1.0,0.15697435062661724
2023-01-02 01:00:00+0100,1.700075,4.8963453333333335,27.52668608333333,4.103783,3.0096303333333334,4.963834666666666,1,0,0,1,1.0,0.09815274560247,1.0,0.1730152989831531
2023-01-02 02:00:00+0100,1.432144,1.744547,26.643331166666666,6.955022,4.484050666666667,5.12606425,2,0,0,1,1.0,0.11226666086120485,1.0,0.17119513171491257
2023-01-02 03:00:00+0100,1.68245,1.6048896666666668,25.623568666666667,5.586383,5.548395999999999,5.266463083333334,3,0,0,1,1.0,0.12027442960630719,1.0,0.19073916403164837
2023-01-02 04:00:00+0100,3.069044,2.0612126666666666,23.488631166666668,1.592031,4.7111453333333335,4.94758625,4,0,0,1,1.0,0.1434275731404523,1.0,0.168966764932503
2023-01-02 05:00:00+0100,3.279122,2.676872,20.895860083333332,1.683319,2.9539109999999997,4.643112833333333,5,0,0,1,1.0,0.1576949425455314,1.0,0.18112880831173028
2023-01-02 06:00:00+0100,2.973369,3.1071783333333336,18.148466083333332,2.572711,1.9493536666666664,4.022047333333333,6,0,0,1,1.0,0.1842186520284863,1.0,0.1968043036443844
2023-01-02 07:00:00+0100,3.491922,3.2481376666666666,14.955151,6.174028,3.4766859999999995,3.8616056666666663,7,0,0,1,1.0,0.19234186317979762,1.0,0.19402877337497537
2023-01-02 08:00:00+0100,3.107447,3.190912666666667,10.58161625,7.8493,5.532013,4.08021425,8,0,0,1,1.0,0.2320719451617585,1.0,0.19760999634180115
2023-01-02 09:00:00+0100,4.186925,3.5954313333333334,6.0323218333333335,7.665842,7.229723333333333,4.359473333333333,9,0,0,1,1.0,0.2645625505340676,1.0,0.19979555875445087
2023-01-02 10:00:00+0100,5.039642,4.111338,3.5792584166666668,7.923517,7.812886333333334,4.752587,10,0,0,1,1.0,0.2652275536977624,1.0,0.1936462455680703
2023-01-02 11:00:00+0100,5.825656,5.017407666666666,3.1574348333333333,5.570925,7.053428,5.0058506666666664,11,0,0,1,1.0,0.25610653272526296,1.0,0.21321416286183736
2023-01-02 12:00:00+0100,8.353375,6.406224333333333,3.6784309166666667,5.160697,6.218379666666666,5.236463166666667,12,0,0,1,1.0,0.24460927253141085,1.0,0.2149386939943057
2023-01-02 13:00:00+0100,9.804683,7.994571333333333,4.353814916666667,4.547275,5.092965666666666,5.273420833333334,13,0,0,1,1.0,0.2264135772941272,1.0,0.21352618061794743
2023-01-02 14:00:00+0100,16.333922,11.497326666666666,5.5956297500000005,6.757086,5.488352666666667,5.256926166666667,14,0,0,1,1.0,0.1720126779964345,1.0,0.20165493929892214
2023-01-02 15:00:00+0100,19.052972,15.063859,7.04317325,7.246628,6.183663,5.3952799166666665,15,0,0,1,1.0,0.1492415092073982,1.0,0.19801538154533516
2023-01-02 16:00:00+0100,17.474769,17.62055433333333,8.243650333333333,8.525753,7.509822333333333,5.973090083333333,16,0,0,1,1.0,0.1509071494587113,1.0,0.19474173090304692
2023-01-02 17:00:00+0100,23.464619,19.99745333333333,9.925775083333333,12.067303,9.279894666666666,6.838422083333334,17,0,0,1,1.0,0.10770485223657988,1.0,0.16590264672905225
2023-01-02 18:00:00+0100,39.825067,26.921485,12.996749916666666,11.138633,10.577229666666666,7.552248916666667,18,0,0,1,1.0,0.04800058544525099,1.0,0.17182262330508752
2023-01-02 19:00:00+0100,42.715242,35.334976000000005,16.265359916666668,7.076219,10.094051666666667,7.6274315,19,0,0,1,1.0,0.026517312213419908,1.0,0.17260938593958802
2023-01-02 20:00:00+0100,45.031669,42.523992666666665,19.759045083333334,9.028561,9.081137666666665,7.72570325,20,0,0,1,1.0,0.0012924114717327573,1.0,0.17108902770002932
2023-01-02 21:00:00+0100,38.664039,42.13698333333334,22.632137916666665,7.215025,7.773268333333333,7.688135166666666,21,0,0,1,1.0,0.005351989046343819,1.0,0.17385278513226765
2023-01-02 22:00:00+0100,42.131567,41.942425,25.723131666666664,10.456778,8.900121333333333,7.899240249999999,22,0,0,1,-1.0,-0.003168406662105383,1.0,0.15921574094795732
